Model,Horizon,RMSE,MAE,Pearson_R,Skill_Score_vs_Pers,POD,FAR,HSS
Persistence,30m,0.21760107310678392,0.17255004291398854,0.7906069106688404,0.0,0.0,0.0,0.0
Persistence,6h,0.46159146262056866,0.3954003798804975,0.0419090108730697,0.0,0.0,0.0,0.0
Persistence,12h,0.6187450582297124,0.5391298229821598,-0.7324222739160496,0.0,0.0,0.0,0.0
XGBoost,30m,0.2327296651639833,0.18861289618162783,0.7861615915545764,-0.14388252093569975,0.0,0.0,0.0
XGBoost,6h,0.2565116752442797,0.21041608118836005,0.7836783444407239,0.6911847500426247,0.0,0.0,0.0
XGBoost,12h,0.2649319614986627,0.21707166284037946,0.7711257120926285,0.816665067435984,0.0,0.0,0.0
LSTM,30m,1.6247686453271517,1.589547519362257,-0.10310079234976124,-54.75206957039421,0.0,0.0,0.0
LSTM,6h,1.873441451828048,1.8443791885480925,0.7860247442069362,-15.472697187442407,0.0,0.0,0.0
LSTM,12h,1.738315720925234,1.7072817611915743,0.651606112786334,-6.892849630663786,0.0,0.0,0.0
TFT,30m,1.2751913397297763,1.2190014824110134,-0.25370689043967715,-33.34224195652354,0.0,0.0,0.0
TFT,6h,1.3954375395566927,1.3548493070483851,0.09443218732112,-8.139138704155325,0.0,0.0,0.0
TFT,12h,0.44567713223038313,0.36330709979426856,-0.18289647022644595,0.4811793957427467,0.0,0.0,0.0
